moisture,spring_stiffness ,displacement_screw_setting,motor_speed,untouched,longitudinal less than 25%,Longitudinal between 25-50%,Longitudinal between 50-75%,Longitudinal more than 75%,Circumferential less than 25%,Circumferential between 25-50%,Circumferential between 50-75%,Circumferential more than 75%,Open Crack,Crushed
5,1800,0.29,60,,,,,"*GH013869, *GH013870, *GH013871, *GH013872, *GH013873, *GH013874",,"*GH013870, *GH013873","*GH013871, *GH013872","*GH013869, *GH013874","*GH013869, *GH013870, *GH013871, *GH013873, *GH013874",
5,1800,0.29,45,,,,,"*GH013875, *GH013876, *GH013877, *GH013878, *GH013879, *GH013880",*GH013879,,*GH013875,"*GH013876, *GH013877, *GH013878, *GH013880","*GH013875, *GH013876, *GH013877, *GH013878, *GH013880",
5,1800,0.36,45,,,,"*GH013881, *GH013882, *GH013883","*GH013884, *GH013885, *GH013886","*GH013881, *GH013882, *GH013883, *GH013884",,,"*GH013885, *GH013886","*GH013883, *GH013885",*GH013886
5,1800,0.29,30,,,,,"*GH013887, *GH013888, *GH013889, *GH013890, *GH013891, *GH013892",*GH013890,,"*GH013889, *GH013892","*GH013887, *GH013888, *GH013891","*GH013887, *GH013888, *GH013889, *GH013890, *GH013891",*GH013891
5,1800,0.22,45,"*GH013893, *GH013896",,,,"*GH013894, *GH013895, *GH013897, *GH013898","*GH013894, *GH013895",*GH013897,,*GH013898,"*GH013897, *GH013898",*GH013898
5,1800,0.36,30,"*GH013899, *GH013902, *GH013903, *GH013904",*GH013901,,,*GH013900,*GH013901,,,*GH013900,*GH013900,
5,1800,0.22,60,,,,,"*GH013905, *GH013906, *GH013907, *GH013908, *GH013909, *GH013910",,*GH013906,*GH013908,"*GH013905, *GH013907, *GH013909, *GH013910","*GH013905, *GH013906, *GH013907, *GH013908, *GH013909, *GH013910",
5,1800,0.36,60,"*GH013915, *GH013916",,,"*GH013912, *GH013913","*GH013911, *GH013914","*GH013911, *GH013912, *GH013913",,*GH013914,,*GH013914,
5,1800,0.22,60,,,,,"*GH013917, *GH013918, *GH013919, *GH013920, *GH013921, *GH013922",,,*GH013918,"*GH013917, *GH013919, *GH013920, *GH013921, *GH013922","*GH013917, *GH013918, *GH013919, *GH013920, *GH013921, *GH013922",
5,1800,0.36,30,,,,*GH013927,"*GH013923, *GH013924, *GH013925, *GH013926, *GH013928","*GH013927, *GH013928","*GH013923, *GH013924, *GH013925",*GH013926,,"*GH013923, *GH013924, *GH013925, *GH013926, *GH013928",
5,1800,0.29,45,,,,,"*GH013929, *GH013930, *GH013931, *GH013932, *GH013933, *GH013934",,*GH013931,"*GH013929, *GH013930, *GH013932, *GH013933",*GH013934,"*GH013929, *GH013930, *GH013931, *GH013932, *GH013933, *GH013934",*GH013934
5,1800,0.29,30,,,,*GH013940,"*GH013935, *GH013936, *GH013937, *GH013938, *GH013939",,"*GH013936, *GH013938, *GH013940","*GH013937, *GH013939",*GH013935,"*GH013935, *GH013936, *GH013937, *GH013938, *GH013939, *GH013940",
5,1800,0.36,60,*GH013946,,,,"*GH013941, *GH013942, *GH013943, *GH013944, *GH013945",,"*GH013942, *GH013944, *GH013945",,"*GH013941, *GH013943","*GH013941, *GH013942, *GH013943, *GH013944, *GH013945","*GH013941, *GH013943"
5,1800,0.22,30,,,,,"*GH013947, *GH013948, *GH013949, *GH013950, *GH013951, *GH013952",,,,"*GH013947, *GH013948, *GH013949, *GH013950, *GH013951, *GH013952","*GH013947, *GH013948, *GH013949, *GH013950, *GH013951, *GH013952",
5,1800,0.29,60,,,,,"*GH013953, *GH013954, *GH013955, *GH013956, *GH013957, *GH013958",,*GH013955,"*GH013953, *GH013956, *GH013957","*GH013954, *GH013958","*GH013953, *GH013954, *GH013955, *GH013956, *GH013957, *GH013958",
5,1800,0.22,45,,,,,"*GH013959, *GH013960, *GH013961, *GH013962, *GH013963, *GH013964",,,"*GH013960, *GH013962","*GH013959, *GH013961, *GH013963, *GH013964","*GH013959, *GH013960, *GH013961, *GH013962, *GH013963, *GH013964",*GH013964
5,1800,0.36,45,,,,"*GH013965, *GH013968","*GH013966, *GH013967, *GH013969, *GH013970","*GH013965, *GH013966, *GH013967, *GH013968, *GH013970",*GH013969,,,"*GH013966, *GH013967, *GH013969",
5,2000,0.29,60,,,,,"GH013293, GH013294, GH013295, GH013296, GH013297, GH013298",GH013294,"GH013293, GH013296, GH013297","GH013295, GH013298",,"GH013293, GH013295, GH013296, GH013297, GH013298",
5,2000,0.22,45,,,,,"GH013299, GH013300, GH013301, GH013302, GH013303, GH013304",,"GH013299,GH013304","GH013300, GH013301, GH013302, GH013303",,"GH013299, GH013300, GH013301, GH013302, GH013303, GH013304",
5,2000,0.36,30,"GH013306, GH013309",,,"GH013307, GH013308","GH013305, GH013310","GH013307, GH013308, GH013310",GH013305,,,"GH013305, GH013307, GH013310",
5,2000,0.36,60,"GH013314, GH013315, GH013316",,,GH013313,"GH013311, GH013312","GH013311, GH013312",GH013313,,,GH013313,
5,2000,0.22,30,,,,,"GH013317, GH013318, GH013319, GH013320, GH013321, GH013322",,"GH013318, GH013322","GH013317, GH013321","GH013319, GH013320","GH013317, GH013318, GH013319, GH013320, GH013321, GH013322",
5,2000,0.29,45,,,,GH013328,"GH013323, GH013324, GH013325, GH013326, GH013327",GH013324,"GH013323, GH013325, GH013326, GH013327, GH013328",,,"GH013325, GH013326, GH013327, GH013328",
5,2000,0.29,30,,,,"GH013329, GH013330","GH013331, GH013332, GH013333, GH013334",GH013332,"GH013329, GH013330","GH013331, GH013333, GH013334",,"GH013329, GH013330, GH013331, GH013332, GH013333, GH013334",
5,2000,0.36,45,"GH013335, GH013338, GH013339, GH013340",,,,"GH013336, GH013337","GH013336, GH013337",,,,GH013336,
5,2000,0.22,60,,,,,"GH013341, GH013342, GH013343, GH013344, GH013345, GH013346",,,"GH013341, GH013345","GH013342, GH013343, GH013344, GH013346","GH013341, GH013342, GH013343, GH013344, GH013345, GH013346",
5,2000,0.22,30,,,,GH013348,"GH013347, GH013349, GH013350, GH013351, GH013352",GH013348,,"GH013350, GH013351","GH013347, GH013349, GH013352","GH013347, GH013349, GH013350, GH013351, GH013352",
5,2000,0.29,60,,,,,"GH013353, GH013354, GH013355, GH013356, GH013357, GH013358","GH013353, GH013354",GH013356,"GH013355, GH013357, GH013358",,"GH013353, GH013355, GH013357, GH013358",
5,2000,0.29,45,,,,,"GH013359, GH013360, GH013361, GH013362, GH013363, GH013364",GH013364,"GH013359, GH013360, GH013361, GH013362, GH013363",,,"GH013359, GH013360, GH013362, GH013363, GH013364",
5,2000,0.36,45,"GH013367, GH013368, GH013369, GH013370",,,,"GH013365, GH013366",,"GH013365, GH013366",,,"GH013365, GH013366",
5,2000,0.29,30,,,GH013370,,"GH013372, GH013373, GH013374, GH013375, GH013375",,"GH013373, GH013374, GH013375, GH013376","GH013371, GH013372",,"GH013372, GH013373, GH013374, GH013375, GH013376",
5,2000,0.22,45,,GH013382,,,"GH013377, GH013378, GH013379, GH013380, GH013381",GH013382,GH013379,"GH013377, GH013378","GH013380, GH013381","GH013377, GH013378, GH013379, GH013380, GH013381",
5,2000,0.36,30,"GH013385, GH013386",,,GH013384,"GH013383, GH013387, GH013388","GH013383, GH013387, GH013388",GH013384,,,GH013384,
5,2000,0.22,60,,,,,"GH013389, GH013390, GH013391, GH013392, GH013393, GH013394",,,"GH013389, GH013390, GH013392, GH013393, GH013394",GH013391,"GH013390, GH013391, GH013392, GH013393",
5,2000,0.36,60,GH013398,,,GH013395,"GH013396, GH013397, GH013398, GH013400","GH013395, GH013400","GH013396, GH013397, GH013398",,,"GH013396, GH013397",
5,2000,0.22,60,,,,,"GH013401, GH013402, GH013403, GH013404, GH013405, GH013406",,,,"GH013401, GH013402, GH013403, GH013404, GH013405, GH013406","GH013401, GH013402, GH013403, GH013404, GH013405, GH013406",
5,2000,0.36,30,"GH0133407, GH0133409",,,,"GH0133408, GH0133410, GH0133411, GH0133412","GH0133408, GH0133411, GH0133412",,,GH0133410,GH0133410,
5,2000,0.29,45,,,,GH0133413,"GH0133414, GH0133415, GH0133416, GH0133417, GH0133418",GH0133413,"GH0133417, GH0133418","GH0133415, GH0133416",GH0133414,"GH0133413, GH0133414, GH0133415, GH0133416, GH0133417, GH0133418",
5,2000,0.29,30,,,,GH0133424,"GH0133419, GH0133420, GH0133421, GH0133422, GH0133423",GH0133422,"GH0133420, GH0133421, GH0133423, GH0133424",GH0133419,,"GH0133419, GH0133420, GH0133421, GH0133422, GH0133424",
5,2000,0.36,60,"GH0133426, GH0133427",,,"GH0133425, GH0133429","GH0133428, GH0133430","GH0133429, GH0133430",GH0133428,,GH0133425,GH0133425,
5,2000,0.22,30,,,,,"GH0133431, GH0133432, GH0133433, GH0133434, GH0133435, GH0133436",,GH0133434,"GH0133431, GH0133433, GH0133435, GH0133436",GH0133432,"GH0133431, GH0133432, GH0133433, GH0133434, GH0133435, GH0133436",
5,2000,0.29,60,,,,,"GH0133437, GH0133438, GH0133439, GH0133440, GH0133441, GH0133442",,"GH0133438, GH0133439, GH0133440, GH0133441, GH0133442",,GH0133437,"GH0133437, GH0133438, GH0133439, GH0133440, GH0133441, GH0133442",
5,2000,0.22,45,"GH0133444, GH0133445, GH0133446, GH0133447, GH0133448",,,,GH0133443,,,,GH0133443,GH0133443,
5,2000,0.36,45,,,,"GH0133451, GH0133452, GH0133453","GH0133449, GH0133450, GH0133454","GH0133449, GH0133450, GH0133452, GH0133453",GH0133451,GH0133454,,"GH0133451, GH0133454",
5,2200,0.29,60,,,,*GH014135,"*GH014130, *GH014131, *GH014132, *GH014133, *GH014134",,"*GH014131, *GH014134","*GH014130, *GH014132, *GH014133, *GH014135",,"*GH014130, *GH014131, *GH014132, *GH014133, *GH014134, *GH014135",
5,2200,0.22,45,,,,,"*GH014136, *GH014137, *GH014138, *GH014139, *GH014140, *GH014141",,,*GH014138,"*GH014136, *GH014137, *GH014139, *GH014140, *GH014141","*GH014136, *GH014137, *GH014138, *GH014139, *GH014140, *GH014141","*GH014139, *GH014140, *GH014141"
5,2200,0.36,30,*GH014147,,,*GH014142,"*GH014143, *GH014144, *GH014145, *GH014146","*GH014142, *GH014144, *GH014145",*GH014143,*GH014146,,"*GH014143, *GH014144, *GH014146",
5,2200,0.36,60,"*GH014151, *GH014152",,,,"*GH014148, *GH014149, *GH014150, *GH014153",,*GH014153,*GH014150,*GH014148,"*GH014148, *GH014149, *GH014150",*GH014148
5,2200,0.22,30,,,,,"*GH014154, *GH014155, *GH014156, *GH014157, *GH014158, *GH014159",,,,"*GH014154, *GH014155, *GH014156, *GH014157, *GH014158, *GH014159","*GH014154, *GH014155, *GH014156, *GH014157, *GH014158, *GH014159",
5,2200,0.29,45,,,,,"*GH014160, *GH014162, *GH014163, *GH014164, *GH014165, *GH014166",*GH014160,,"*GH014162, *GH014163, *GH014165","*GH014164, *GH014166","*GH014162, *GH014163, *GH014164, *GH014165, *GH014166",
5,2200,0.29,30,,,,"*GH014168, *GH014170","*GH014167, *GH014169, *GH014171, *GH014172",,"*GH014170, *GH014171","*GH014168, *GH014172","*GH014167, *GH014169","*GH014167, *GH014168, *GH014169, *GH014170, *GH014171, *GH014172",
5,2200,0.36,45,,,,"*GH014173, *GH014174, *GH014175, *GH014176",*GH014177,"*GH014174, *GH014176, *GH014177",*GH014175,*GH014173,,"*GH014173, *GH014175",
5,2200,0.22,60,,,,,"*GH014178, *GH014179, *GH014180, *GH014181, *GH014182, *GH014183",,,,"*GH014178, *GH014179, *GH014180, *GH014181, *GH014182, *GH014183","*GH014178, *GH014179, *GH014180, *GH014181, *GH014182, *GH014183",*GH014182
5,2200,0.22,30,,,,,"*GH014184, *GH014185, *GH014186, *GH014187, *GH014188",,,,"*GH014184, *GH014185, *GH014186, *GH014187, *GH014188","*GH014184, *GH014185, *GH014186, *GH014187, *GH014188","*GH014186, *GH014189"
5,2200,0.29,60,,,,,"*GH014190, *GH014191, *GH014192, *GH014193, *GH014194, *GH014195",*GH014190,,"*GH014191, *GH014193, *GH014194","*GH014192, *GH014195","*GH014192, *GH014193, *GH014194, *GH014195","*GH014192, *GH014195"
5,2200,0.29,45,,,,,"*GH014196, *GH014197, *GH014198, *GH014199, *GH014200, *GH014201",,"*GH014196, *GH014199, *GH014200",*GH014197,"*GH014198, *GH014201","*GH014197, *GH014198, *GH014199, *GH014200, *GH014201",
5,2200,0.36,45,,,,*GH014207,"*GH014202, *GH014203, *GH014205, *GH014206","*GH014202, *GH014206, *GH014207",*GH014203,*GH014205,,"*GH014203, *GH014205",
5,2200,0.29,30,,,,*GH014219,"*GH014214, *GH014215, *GH014216, *GH014217, *GH014218",,"*GH014214, *GH014216, *GH014218, *GH014219",*GH014215,*GH014217,"*GH014214, *GH014215, *GH014216, *GH014217",
5,2200,0.22,45,,,,,"*GH014220, *GH014221, *GH014222, *GH014223, *GH014224",,,*GH014223,"*GH014220, *GH014221, *GH014222, *GH014224","*GH014220, *GH014222, *GH014223, *GH014224",
5,2200,0.36,30,*GH014228,,,*GH014230,"*GH014225, *GH014226, *GH014227, *GH014229",,"*GH014225, *GH014226, *GH014229, *GH014230",*GH014227,,"*GH014227, *GH014229, *GH014230",
5,2200,0.22,60,,,,," *GH014231, *GH014232, *GH014233, *GH014234, *GH014235, *GH014236",,,*GH014234," *GH014231, *GH014232, *GH014233, *GH014235, *GH014236"," *GH014231, *GH014232, *GH014233, *GH014234, *GH014235, *GH014236",
5,2200,0.36,60,,,,"*GH014237, *GH014239, *GH014242","*GH014238, *GH014240, *GH014241","*GH014237, *GH014238, *GH014239, *GH014240, *GH014242",*GH014241,,,*GH014242,
5,2200,0.22,60,,,,,"*GH014243, *GH014244, *GH014245, *GH014246, *GH014247, *GH014248",,,"*GH014243, *GH014245","*GH014244, *GH014246, *GH014247, *GH014248","*GH014243, *GH014244, *GH014245, *GH014246, *GH014247, *GH014248",*GH014244
5,2200,0.36,30,,,,,"*GH014249, *GH014250, *GH014251, *GH014252, *GH014253, *GH014254",*GH014254,"*GH014251, *GH014252","*GH014249, *GH014250, *GH014253",,"*GH014250, *GH014251, *GH014252, *GH014253",
5,2200,0.29,45,,,,*GH014256,"*GH014255, *GH014257, *GH014258, *GH014259, *GH014260",*GH014255," *GH014256, *GH014259","*GH014258, *GH014260",*GH014257,"*GH014257, *GH014258, *GH014259, *GH014260",
5,2200,0.29,30,,,,"*GH014261, *GH014262","*GH014263, *GH014264, *GH014265, *GH014266",,"*GH014261, *GH014265","*GH014262, *GH014264, *GH014266",*GH014263,"*GH014261, *GH014262, *GH014263, *GH014264, *GH014265, *GH014266",
5,2200,0.36,60,,,,,"*GH014267, *GH014268, *GH014269, *GH014270, *GH014271, *GH014272","*GH014267, *GH014270",*GH014268,*GH014271,"*GH014269, *GH014272","*GH014268, *GH014269, *GH014271, *GH014272",*GH014272
5,2200,0.22,30,,,,,"*GH014273, *GH014274, *GH014275, *GH014276, *GH014277",,,*GH014276,"*GH014273, *GH014274, *GH014275, *GH014277","*GH014273, *GH014274, *GH014275, *GH014276, *GH014277",
5,2200,0.29,60,,,,*GH014278,"*GH014279, *GH014280, *GH014281, *GH014282",,"*GH014278, *GH014280","*GH014281, *GH014282",*GH014279,"*GH014278, *GH014279, *GH014280, *GH014281, *GH014282",
5,2200,0.22,45,,,,,"*GH014283, *GH014284, *GH014285, *GH014286, *GH014287, *GH014288",,*GH014286,,"*GH014283, *GH014284, *GH014285, *GH014287, *GH014288","*GH014283, *GH014284, *GH014285, *GH014286, *GH014287, *GH014288",
5,2200,0.36,45,*GH014291,,,,"*GH014289, *GH014290, *GH014292, *GH014293, *GH014294",*GH014290,"*GH014289, *GH014293",,"*GH014292, *GH014294","*GH014292, *GH014293, *GH014294",
7,1800,0.36,45,GH013538,,,,"GH013539, GH013541, GH013542, GH013543","GH013539, GH013542, GH013543",,,GH013541,"GH013540, GH013542",GH013541
7,1800,0.22,30,,,,,"GH013544, GH013545, GH013546, GH013547, GH013548, GH013549",,GH013544,"GH013545, GH013546","GH013545, GH013546, GH013547, GH013548, GH013549","GH013544, GH013545, GH013546, GH013547, GH013549",
7,1800,0.36,30,,,"GH013550, GH013553",,"GH013551, GH013552, GH013554, GH013555","GH013550, GH013551, GH013553, GH013554, GH013555",,GH013552,,"GH013552, GH013554, GH013555",
7,1800,0.29,30,,,,,"GH013556, GH013557, GH013558, GH013559, GH013560, GH013561",,"GH013556, GH013557, GH013561",GH013559,"GH013558, GH013560","GH013556, GH013557, GH013558, GH013559, GH013560, GH013561",
7,1800,0.22,45,,,,,"GH013562, GH013563, GH013564, GH013565, GH013566, GH013567",,,,"GH013562, GH013563, GH013564, GH013565, GH013566, GH013567","GH013562, GH013563, GH013564, GH013565, GH013566, GH013567",
7,1800,0.36,60,,,GH013488,,"GH013485, GH013486, GH013487, GH013489, GH013490","GH013486, GH013489, GH013490",GH013487,,"GH013485, GH013488","GH013485, GH013486, GH013487, GH013489, GH013490",GH013485
7,1800,0.29,60,,,,"GH013492, GH013494","GH013491, GH013493, GH013495, GH013496",GH013495,"GH013492, GH013496","GH013491, GH013494",GH013493,"GH013491, GH013492, GH013493, GH013494, GH013495, GH013496",
7,1800,0.22,60,,,,,"GH013497, GH013498, GH013499, GH013500, GH013501, GH013502",,,GH013502,"GH013497, GH013498, GH013499, GH013500, GH013501, GH013502","GH013497, GH013498, GH013499, GH013500, GH013501, GH013502",
7,1800,0.29,45,,,,,"GH013568, GH013569, GH013570, GH013571, GH013572, GH013573","GH013568, GH013571","GH013569, GH013572, GH013573",,GH013570,"GH013569, GH013570, GH013572, GH013573",
7,1800,0.36,30,GH013577,,,GH013576,"GH013574, GH013575, GH013578, GH013579","GH013574, GH013576, GH013578, GH013579",GH013575,,,GH013575,
7,1800,0.22,60,,,,,"GH013515, GH013516, GH013517, GH013518, GH013519, GH013520",,,,"GH013515, GH013516, GH013517, GH013518, GH013519, GH013520","GH013515, GH013516, GH013517, GH013518, GH013519, GH013520",GH013518
7,1800,0.36,60,GH013522,,,,"GH013521, GH013523, GH013524, GH013525, GH013526",GH013526,GH013525,,"GH013521, GH013523, GH013524","GH013521, GH013523, GH013524, GH013525",
7,1800,0.36,45,*GH013585,,,,"*GH013580, *GH013581, *GH013582, *GH013583, *GH013584",*GH013581,"*GH013580, *GH013582",*GH013583,*GH013584,"*GH013580, *GH013583, *GH013584",
7,1800,0.22,45,,,,,"*GH013586, *GH013587, *GH013588, *GH013589",,,,"*GH013586, *GH013587, *GH013588, *GH013589","*GH013586, *GH013587, *GH013588, *GH013589",
7,1800,0.29,30,,,,,"*GH013590, *GH013591, *GH013592, *GH013593, *GH013594, *GH013595",*GH013595,"*GH013591, *GH013592, *GH013593",*GH013590, *GH013594,"*GH013590, *GH013591, *GH013592, *GH013593, *GH013594",
7,1800,0.22,30,,,,,"*GH013596, *GH013597, *GH013598, *GH013599, *GH013600, *GH013601",,,*GH013597,"*GH013596, *GH013598, *GH013599, *GH013600, *GH013601","*GH013596, *GH013597, *GH013598, *GH013599, *GH013600, *GH013601",
7,1800,0.29,45,,,,,"*GH013602, *GH013603, *GH013604, *GH013605, *GH013606, *GH013607",*GH013603,"*GH013604, *GH013605, *GH013607",*GH013602,*GH013606,"*GH013602, *GH013604, *GH013605, *GH013606, *GH013607",
7,1800,0.29,60,,,,GH013504,"GH013503, GH013505, GH013506, GH013507, GH013508",,"GH013504, GH013505, GH013506, GH013507, GH013508",,GH013503,"GH013503, GH013504, GH013505, GH013508",
7,1800,0.22,45,,,,,"*GH013608, *GH013609, *GH013610, *GH013611, *GH013612",,,,"*GH013608, *GH013609, *GH013610, *GH013611, *GH013612","*GH013608, *GH013609, *GH013610, *GH013611, *GH013612",
7,1800,0.36,60,"GH013457, GH013460","GH013456, GH013459",GH013455,GH013458,,"GH013455, GH013456, GH013458, GH013459",,,,GH013458,
7,1800,0.22,60,,,,,"GH013461, GH013462, GH013463, GH013464, GH013465, GH013466",,GH013466,GH013462,"GH013461, GH013463, GH013464, GH013465","GH013461, GH013462, GH013463, GH013464, GH013465, GH013466",
7,1800,0.22,30,,,,,"GH013613, GH013614, GH013615, GH013616, GH013617, GH013618",,,,"GH013613, GH013614, GH013615, GH013616, GH013617, GH013618","GH013613, GH013614, GH013615, GH013616, GH013617, GH013618",GH013616
7,1800,0.36,45,GH013623,,,,"GH013619, GH013620, GH013621, GH013622, GH013624","GH013619, GH013620","GH013621, GH013622, GH013624",,,"GH013619, GH013622",
7,1800,0.29,45,,,,,"GH013625, GH013626, GH013627, GH013628, GH013629, GH013630",GH013627,"GH013625, GH013626",,"GH013628, GH013629, GH013630","GH013625, GH013626, GH013628, GH013629, GH013630",
7,1800,0.36,30,GH013632,,,GH013636,"GH013631, GH013633, GH013634, GH013635",GH013636,"GH013634, GH013635",GH013631,GH013633,"GH013631, GH013633, GH013634, GH013635",
7,1800,0.29,60,,,,,"GH013473, GH013474, GH013475, GH013476, GH013477, GH013478",,GH013474,"GH013474, GH013478","GH013473, GH013476, GH013477","GH013473, GH013474, GH013475, GH013476, GH013477, GH013478",
7,1800,0.29,30,,,,,"GH013637, GH013638, GH013639, GH013640, GH013641, GH013643",,GH013639,,"GH013637, GH013638, GH013640, GH013641, GH013643","GH013637, GH013638, GH013639, GH013640, GH013641, GH013643",GH013640
7,2000,0.36,45,GH012972,,,"GH012967, GH012968, GH012969, GH012971",GH012970,"GH012968, GH012969","GH012970, GH012971",GH012967,,"GH012967, GH012970, GH012971",
7,2000,0.22,30,,,,,"GH012973, *GH012974, *GH012975, *GH012976, *GH012977, *GH012978",,*GH012974,"GH012973, *GH012976, *GH012977","*GH012975, *GH012978","GH012973, *GH012974, *GH012975, *GH012976, *GH012977, *GH012978",
7,2000,0.36,30,GH012981,"GH012980, GH012983",,GH012984,"GH012979, GH012982","GH012980, GH012982, GH012983, GH012984",GH012979,,,,
7,2000,0.29,30,,,,GH012988,"GH012986, GH012987, GH012989, GH012990",,"GH012986, GH012987, GH012988, GH012990",GH012989,,GH012990,
7,2000,0.22,45,,,,,"GH012992, GH012993, GH012994, GH012995, GH012996, GH012997",,,"GH012996, GH012997","GH012992, GH012993, GH012994, GH012995","GH012992, GH012993, GH012994, GH012995, GH012996, GH012997",
7,2000,0.36,60,GH013003,GH012999,,"GH013000, GH013001, GH013002",GH012998,"GH012998, GH012999","GH013001, GH013002",GH013000,,"GH013001, GH013002",
7,2000,0.29,60,,GH013006,,"GH013008, GH013009","GH013004, GH013005, GH013007",GH013006,"GH013005, GH013008, GH013009","GH013004, GH013007",,"GH013004, GH013005, GH013008, GH013009",
7,2000,0.22,60,,,,,"GH013010, GH013011, GH013012, GH013013, GH013014, GH013015",,,"GH013011, GH013012, GH013013, GH013014","GH013010, GH013015","GH013010, GH013011, GH013012, GH013013, GH013014, GH013015",
7,2000,0.29,45,,,,"GH013016, GH013018, GH013019","GH013017, GH013020, GH013021",,"GH013016, GH013017, GH013018, GH013019","GH013020, GH013021",,"GH013016, GH013017, GH013018, GH013019, GH013020, GH013021",
7,2000,0.36,30,"GH013024, GH013027",,,"GH013023, GH013025, GH013026",GH013022,"GH013022, GH013023, GH013025, GH013026",,,,,
7,2000,0.22,60,,,,,"GH013028, GH013029, GH013030, GH013031, GH013032, GH013033",,,"GH013028, GH013031","GH013029, GH013030, GH013032, GH013033","GH013028, GH013029, GH013030, GH013031, GH013032, GH013033",
7,2000,0.36,60,GH013036,,"GH013037, GH013038","GH013034, GH013039",GH013035,,"GH013034, GH013035, GH013037, GH013038, GH013039",,,"GH013034, GH013037, GH013038, GH013039",
7,2000,0.36,45,GH013044,,,"GH013040, GH013041, GH013042, GH013043",GH013045,"GH013040, GH013041, GH013042, GH013043, GH013045",,,GH013045,,
7,2000,0.22,45,,,,GH013051,"GH013046, GH013047, GH013048, GH013049, GH013050",,,"GH013046, GH013050, GH013051","GH013047, GH013048, GH013049","GH013046, GH013047, GH013048, GH013049, GH013050, GH013051",
7,2000,0.29,30,,,GH013055,"GH013052, GH013056","GH013053, GH013054, GH013057",,GH013056,"GH013052, GH013053, GH013054, GH013057",GH013055,"GH013052, GH013053, GH013054, GH013055, GH013056, GH013057",
7,2000,0.22,30,,,,,"GH013058, GH013059, GH013060, GH013061, GH013062, GH013063",,,"GH013059, GH013060, GH013063","GH013058, GH013061, GH013062","GH013058, GH013059, GH013060, GH013061, GH013062, GH013063",
7,2000,0.29,45,GH013066,,,GH013067,"GH013064, GH013065, GH013068, GH013069",GH013067,"GH013065, GH013068","GH013064, GH013069",GH013069,,
7,2000,0.29,60,,,,"GH013071, GH013075","GH013070, GH013072, GH013073, GH013074","GH013071, GH013072","GH013070, GH013075","GH013073, GH013074",,"GH013070, GH013072, GH013073, GH013074, GH013075",
7,2000,0.22,45,,,,,"GH013076, GH013077, GH013078, GH013079, GH013080, GH013081",,,"GH013076, GH013078, GH013081","GH013077, GH013079, GH013080","GH013076, GH013077, GH013078, GH013079, GH013080, GH013081",
7,2000,0.36,60,GH013082,,,"GH013084, GH013086","GH013083, GH013085, GH013087","GH013084, GH013086","GH013085, GH013087",GH013083,,"GH013083, GH013086",
